,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,osijek,46,HR,1599529890,82,45.55,18.69,61.0,6.93
1,barra do garcas,2,BR,1599530028,59,-11.09,-43.14,77.05,14.29
2,rikitea,0,PF,1599530029,83,-23.12,-134.97,73.11,11.86
3,hilo,1,US,1599530029,58,19.73,-155.09,87.8,10.29
4,najran,0,SA,1599530029,38,17.49,44.13,75.2,2.95
5,atuona,20,PF,1599530029,76,-9.8,-139.03,78.75,21.7
6,vardo,0,NO,1599530029,84,70.37,31.11,50.79,11.61
7,busselton,87,AU,1599530030,64,-33.65,115.33,64.0,12.35
8,coruripe,0,BR,1599530030,85,-10.13,-36.18,72.75,7.07
9,mahebourg,40,MU,1599530030,94,-20.41,57.7,69.8,5.82
10,arlit,97,NE,1599530030,30,18.74,7.39,90.41,5.93
11,port lincoln,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
12,sinnamary,35,GF,1599530031,88,5.38,-52.95,79.16,9.13
13,port alfred,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
14,ketchikan,90,US,1599530031,52,55.34,-131.65,68.0,9.17
15,rawson,100,AR,1599530032,47,-43.3,-65.1,58.39,21.56
16,olafsvik,100,IS,1599530032,82,64.89,-23.71,46.51,13.29
17,punta arenas,10,PH,1599530032,58,8.99,125.34,88.88,2.17
18,mount gambier,100,GB,1599530032,99,53.66,-1.85,61.0,4.0
19,cherskiy,0,RU,1599530032,63,68.75,161.3,46.78,15.46
20,jamestown,1,US,1599530033,93,42.1,-79.24,63.0,4.7
21,ushuaia,40,AR,1599529882,75,-54.8,-68.3,41.0,3.36
22,inhuma,0,BR,1599530033,41,-6.67,-41.71,76.5,7.76
23,byron bay,90,US,1599529990,76,44.03,-92.65,51.01,6.93
24,vaini,75,TO,1599530033,73,-21.2,-175.2,77.0,11.41
25,provideniya,67,RU,1599530034,57,64.38,-173.3,50.0,13.42
26,araouane,1,ML,1599530034,32,18.9,-3.53,92.89,13.73
27,sakakah,0,SA,1599530034,12,29.97,40.21,82.4,4.7
28,palmer,40,US,1599530034,77,42.16,-72.33,68.0,4.7
29,coihaique,90,CL,1599529968,81,-45.58,-72.07,46.4,2.24
30,nome,75,US,1599530035,93,64.5,-165.41,55.0,8.05
31,qaanaaq,100,GL,1599530035,80,77.48,-69.36,21.22,9.66
32,puerto ayora,0,ES,1599530035,78,36.59,-6.23,75.2,14.99
33,cape town,91,CL,1599530035,93,-36.41,-71.9,48.2,6.93
34,bredasdorp,0,ZA,1599530036,93,-34.53,20.04,50.0,2.24
35,sobolevo,100,RU,1599530036,94,54.43,31.9,52.18,7.47
36,mar del plata,0,ES,1599530036,87,43.4,-4.01,60.01,1.12
37,iqaluit,20,CA,1599530036,93,63.75,-68.51,37.4,4.7
38,rodionovo-nesvetayskaya,0,RU,1599530037,50,47.61,39.71,55.4,2.24
39,koflach,75,AT,1599530037,87,47.07,15.08,61.0,2.24
40,pevek,0,RU,1599530037,78,69.7,170.31,42.06,3.13
41,baruun-urt,1,MN,1599530037,54,46.68,113.28,63.75,12.19
42,lavrentiya,79,RU,1599530038,68,65.58,-171.0,44.69,22.57
43,lithia springs,0,GR,1599530038,52,40.52,21.41,68.0,5.82
44,chokurdakh,100,RU,1599530038,86,70.63,147.92,40.41,9.53
45,vao,100,NC,1599530038,77,-22.67,167.48,68.29,25.17
46,mainz,1,DE,1599530039,76,50.0,8.27,52.0,3.36
47,vila franca do campo,32,PT,1599530039,68,42.03,-8.16,72.0,4.7
48,opuwo,0,NA,1599530039,55,-18.06,13.84,59.97,4.52
49,east london,75,IS,1599530039,70,65.0,-15.0,42.8,8.05
50,san jose,14,ML,1599530039,82,13.3,-4.9,76.06,9.86
51,mataura,0,NZ,1599530040,44,-46.19,168.86,61.61,7.45
52,dickinson,75,US,1599530040,78,29.46,-95.05,84.2,5.82
53,parrita,100,CR,1599530040,94,9.52,-84.32,69.8,2.24
54,lebu,100,CL,1599530041,90,-37.62,-73.65,47.59,9.71
55,tuktoyaktuk,75,CA,1599530041,100,69.45,-133.04,44.6,18.34
56,saskylakh,9,RU,1599530041,55,71.92,114.08,51.28,9.8
57,roma,90,US,1599530041,53,43.21,-75.46,75.2,8.05
58,thompson,75,CA,1599530041,81,55.74,-97.86,42.8,9.17
59,liwale,19,TZ,1599530042,95,-9.77,37.93,62.06,2.84
60,stege,100,DK,1599530042,1,54.99,12.28,60.01,8.01
61,midland,1,US,1599529960,33,32.0,-102.08,89.6,17.22
62,sapulpa,1,US,1599529892,62,36.0,-96.11,87.8,8.05
63,bluff,41,NZ,1599530042,66,-46.6,168.33,54.39,9.91
64,abu samrah,0,IN,1599530043,100,24.6,72.7,68.29,4.05
65,luderitz,0,NA,1599530043,55,-26.65,15.16,62.76,4.54
66,kapaa,20,US,1599530043,70,22.08,-159.32,84.2,10.29
67,santa maria,100,PH,1599530043,68,17.49,120.43,86.14,0.2
68,albany,92,US,1599530030,61,42.6,-73.97,72.0,7.05
69,marzuq,1,YE,1599530043,57,14.4,46.47,77.14,4.65
70,talnakh,1,RU,1599530044,93,69.49,88.4,48.2,6.71
71,yellowknife,75,CA,1599530044,81,62.46,-114.35,50.0,16.11
